Country,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
East Asia & Pacific,primary,110.224029541016,110.92357635498,109.465171813965,108.066650390625,106.849769592285,105.281303405762,104.555038452148,105.071189880371,105.375160217285,105.32967376709,104.872680664062,105.003997802734,105.154861450195,104.620399475098,101.81568145752,101.045478820801,100.860946655273,100.652389526367,100.173690795898,99.8616180419922,100.061592102051
East Asia & Pacific,primary_female,110.308181762695,111.222671508789,109.70955657959,108.323722839355,107.229118347168,105.498176574707,104.717170715332,105.105827331543,105.452972412109,105.258842468262,105.148918151855,105.276351928711,105.2080078125,104.752647399902,101.899658203125,100.989723205566,100.871597290039,100.631492614746,100.128768920898,99.8039627075195,99.9909210205078
East Asia & Pacific,primary_male,110.146797180176,110.649879455566,109.242149353027,107.832626342773,106.506790161133,105.085670471191,104.409080505371,105.040061950684,105.305358886719,105.39315032959,104.625343322754,104.760368347168,105.107368469238,104.502311706543,101.740730285645,101.095222473145,100.851448059082,100.671051025391,100.213882446289,99.9132995605469,100.125030517578
East Asia & Pacific,secondary,62.1436996459961,63.9107894897461,64.6817474365234,65.9770584106445,68.4119262695312,70.3503723144531,73.1226196289062,76.6228790283203,79.1833419799805,83.070068359375,84.7297592163086,86.061653137207,86.5859222412109,87.486198425293,86.9173736572266,87.1539535522461,86.5248031616211,86.7522583007812,87.2916488647461,88.9832077026367,89.899040222168
East Asia & Pacific,secondary_female,60.9457092285156,62.8622512817383,63.8230400085449,65.3064880371094,68.1626815795898,70.5025024414062,73.6256332397461,77.3227996826172,80.100212097168,84.3223571777344,85.2631530761719,86.7125930786133,87.5260620117188,88.3574523925781,88.063102722168,88.283332824707,87.7668609619141,87.9111175537109,88.4812393188477,90.0556335449219,90.8184967041016
East Asia & Pacific,secondary_male,63.2668914794922,64.8903121948242,65.4806671142578,66.5983200073242,68.6420135498047,70.2104263305664,72.6614990234375,75.9831390380859,78.3479080200195,81.9322509765625,84.2464370727539,85.472900390625,85.7374725341797,86.7014999389648,85.8870620727539,86.1397933959961,85.4104537963867,85.7120208740234,86.2228088378906,88.0189514160156,89.0723266601562
East Asia & Pacific,tertiary,16.5568504333496,17.4698600769043,19.0702209472656,20.7942905426025,22.3188800811768,23.4988803863525,24.681209564209,25.5336608886719,26.1920108795166,27.3756103515625,29.0185108184814,30.5334892272949,32.6158103942871,35.0063514709473,41.8916206359863,44.2587699890137,45.9389686584473,46.5590782165527,47.4009819030762,49.4808692932129,52.6518783569336
East Asia & Pacific,tertiary_female,15.1963996887207,15.9441404342651,17.7628498077393,19.4840202331543,21.2422294616699,22.5040702819824,24.130350112915,25.4850807189941,26.3920707702637,27.8694000244141,29.7747993469238,31.519889831543,34.1336288452148,37.0369415283203,44.8091697692871,47.6613807678223,49.9144515991211,50.6279106140137,51.6399803161621,54.0149383544922,57.0703086853027
East Asia & Pacific,tertiary_male,17.8526096343994,18.9207000732422,20.3110599517822,22.0352191925049,23.3358497619629,24.4356193542481,25.1979198455811,25.5790996551514,26.0055294036865,26.9169406890869,28.3187103271484,29.6235809326172,31.2216701507568,33.1487312316895,39.2321014404297,41.166690826416,42.333179473877,42.8744201660156,43.5660591125488,45.3829002380371,48.6606407165527
Latin America & Caribbean,primary,115.673156738281,114.882301330566,114.836166381836,113.822761535645,114.052032470703,113.428680419922,109.354698181152,113.001747131348,112.473052978516,112.463836669922,111.409637451172,110.549781799316,109.402587890625,110.243026733398,109.37109375,108.312019348145,107.620933532715,107.052093505859,106.677040100098,106.588180541992,105.879936218262
Latin America & Caribbean,primary_female,114.087532043457,113.437812805176,113.424621582031,112.426338195801,112.550193786621,111.835609436035,107.803619384766,111.310752868652,110.787452697754,110.74259185791,109.746353149414,108.963569641113,107.937049865723,108.787773132324,107.92903137207,107.070121765137,106.516616821289,106.149368286133,105.892723083496,105.835441589355,104.964401245117
Latin America & Caribbean,primary_male,117.201438903809,116.273826599121,116.195343017578,115.166839599609,115.497138977051,114.960998535156,110.84635925293,114.627769470215,114.093650817871,114.118270874023,113.007751464844,112.0732421875,110.809478759766,111.644371032715,110.76065826416,109.505928039551,108.681587219238,107.916458129883,107.42845916748,107.310577392578,106.762519836426
Latin America & Caribbean,secondary,79.3801193237305,80.5385513305664,87.1760711669922,84.6531219482422,86.362663269043,86.6360015869141,84.9996795654297,86.1367721557617,87.2585601806641,88.1930999755859,89.2363967895508,89.7034530639648,89.8471908569336,94.7633285522461,94.8695373535156,95.0755462646484,96.088623046875,96.5442810058594,97.567138671875,97.6430587768555,97.1172180175781
Latin America & Caribbean,secondary_female,81.7892074584961,83.0510101318359,90.0146865844727,87.7489395141602,89.4052276611328,89.802131652832,88.2992324829102,89.54833984375,90.7860565185547,91.6666488647461,92.5485076904297,92.8820495605469,92.7997589111328,97.5087127685547,97.6046905517578,97.6465072631836,98.4324188232422,98.6545333862305,99.8022918701172,100.104858398438,99.7190017700195
Latin America & Caribbean,secondary_male,77.0258331298828,78.0848236083984,84.4059371948242,81.6343002319336,83.3975677490234,83.5519638061523,81.787467956543,82.8174591064453,83.8287887573242,84.8180770874023,86.0204162597656,86.619270324707,86.984001159668,92.1076507568359,92.2357330322266,92.6001586914062,93.831657409668,94.5117568969727,95.4137268066406,95.2773132324219,94.6235809326172
